material_id,formula,mismatch_pct,E_ads_eV,S_lattice,S_adsorption,barrier_eV,S_diffusion,score_mode,score
mp-17236,Ba(Ni2B)6,1.773,-0.2451000064611435,0.7784,0.4439,,,pre_neb,0.5872
mp-1183066,Ac2ZnAu,4.915,-0.3441999852657318,0.3856,0.7383,,,pre_neb,0.5871
mp-11840,BaAg,1.716,-0.2431000024080276,0.7855,0.4382,,,pre_neb,0.5871
mp-10300,ZrMoP,0.109,-0.1842000037431717,0.9864,0.2875,,,pre_neb,0.587
mp-1224976,FeNi,0.245,-0.8126000165939331,0.9694,0.2948,,,pre_neb,0.5839
mp-2754,Hf2Fe,5.827,-0.3722000122070312,0.2716,0.8153,,,pre_neb,0.5823
mp-1397,Rb2Te,6.073,-0.3806000053882599,0.2409,0.8368,,,pre_neb,0.5814
mp-1179094,SrH2,1.933,-0.7537000179290771,0.7584,0.4473,,,pre_neb,0.5806
mp-1915,Fe2B,0.921,-0.210899993777275,0.8849,0.3518,,,pre_neb,0.5803
mp-1451,NbNi3,1.158,-0.7814000248908997,0.8552,0.3716,,,pre_neb,0.5789
mp-5795,CaMg2N2,0.974,-0.2092999964952469,0.8782,0.3477,,,pre_neb,0.5751
mp-686208,Li5SiN3,1.485,-0.7724000215530396,0.8144,0.3955,,,pre_neb,0.575
mp-1221921,MgZnCo,1.145,-0.784600019454956,0.8569,0.3633,,,pre_neb,0.5748
mp-1224394,HfUN2,5.438,-0.3537999987602234,0.3203,0.7655,,,pre_neb,0.5747
mp-492,TiN,0.033,-0.1678999960422516,0.9959,0.2519,,,pre_neb,0.5708
mp-1221111,NbFe,0.997,-0.2070000022649765,0.8754,0.3419,,,pre_neb,0.5706
mp-1187418,Ti2AlW,0.069,-0.8306000232696533,0.9914,0.2551,,,pre_neb,0.5706
mp-542830,Mn23C6,1.617,-0.7709000110626221,0.7979,0.3996,,,pre_neb,0.5703
mp-1224334,HfNbC2,5.961,-0.3682999908924103,0.2549,0.8051,,,pre_neb,0.5693
mp-22759,CoBW,5.026,-0.3366999924182892,0.3718,0.7165,,,pre_neb,0.5688
mp-672287,Li13Si4,1.21,-0.2134999930858612,0.8488,0.3584,,,pre_neb,0.5686
mp-1069105,Co(BMo)2,0.472,-0.1849000006914138,0.941,0.2891,,,pre_neb,0.5685
mp-1224395,Hf(AlFe)6,5.693,-0.6419000029563904,0.2884,0.7775,,,pre_neb,0.5679
mp-865026,Mn2VSi,0.006,-0.8360000252723694,0.9992,0.2439,,,pre_neb,0.5676
mp-768810,Sr4Br6O,7.348,-0.5760999917984009,0.0815,0.9302,,,pre_neb,0.5665
mp-1177252,Li4TiO4,4.677,-0.6758999824523926,0.4154,0.6793,,,pre_neb,0.5662
mp-10126,V5SiB2,3.671,-0.7078999876976013,0.5411,0.5826,,,pre_neb,0.5648
mp-20424,MgCo3C,0.512,-0.1835000067949295,0.936,0.2859,,,pre_neb,0.5645
mp-864962,CaAcZn2,2.083,-0.7590000033378601,0.7396,0.4324,,,pre_neb,0.564
mp-16916,Ca6FeN5,2.789,-0.7368999719619751,0.6514,0.4958,,,pre_neb,0.5625
mp-1102452,ZrFeSi,1.867,-0.767300009727478,0.7666,0.4094,,,pre_neb,0.5625
mp-23302,RbI,0.967,-0.8001999855041504,0.8791,0.3242,,,pre_neb,0.562
mp-1552,Mo2C,1.044,-0.7973999977111816,0.8695,0.331,,,pre_neb,0.5618
mp-1228914,Al4CrNi15,1.317,-0.2123000025749206,0.8354,0.3554,,,pre_neb,0.5611
mp-608,TiCo3,0.371,-0.8252999782562256,0.9536,0.2664,,,pre_neb,0.5609
mp-7829,MnNbSi,5.053,-0.6675999760627747,0.3684,0.7039,,,pre_neb,0.5601
mp-5473,CaMgSi,1.45,-0.2164999991655349,0.8188,0.3662,,,pre_neb,0.5601
mp-3747,Ti3AlC2,2.324,-0.2459000051021576,0.7095,0.4462,,,pre_neb,0.559
mp-3657,TiCo2Si,0.871,-0.8062000274658203,0.8911,0.3098,,,pre_neb,0.5589
mp-1228868,AlNi,4.966,-0.6711000204086304,0.3792,0.6935,,,pre_neb,0.5588
mp-1217935,TaFe4W,1.783,-0.772599995136261,0.7771,0.395,,,pre_neb,0.5588
mp-22898,KI,2.034,-0.2354999929666519,0.7458,0.4171,,,pre_neb,0.5579
mp-1145,TiB2,0.876,-0.1932000070810318,0.8905,0.3083,,,pre_neb,0.5578
mp-1206931,Cr(BMo)2,2.662,-0.7444999814033508,0.6672,0.4737,,,pre_neb,0.5566
mp-1217391,Ti13Al9Co8,2.403,-0.2469000071287155,0.6996,0.449,,,pre_neb,0.5564
mp-13150,BN,0.392,-0.8281999826431274,0.951,0.2602,,,pre_neb,0.5562
mp-1009730,Ca2Sn,1.352,-0.7900000214576721,0.831,0.3495,,,pre_neb,0.5559
mp-1186005,MnZnNi2,1.665,-0.7795000076293945,0.7919,0.3766,,,pre_neb,0.5546
mp-976280,LiBr,0.72,-0.1842000037431717,0.91,0.2875,,,pre_neb,0.5543
mp-865656,TiMn2W,0.165,-0.8411999940872192,0.9794,0.2333,,,pre_neb,0.5531
mp-39105,MgTa2N3,0.377,-0.1684000045061111,0.9529,0.253,,,pre_neb,0.5529
mp-1017529,VCo3,0.429,-0.1692000031471252,0.9464,0.2547,,,pre_neb,0.5511
mp-9556,SrZnSi,0.891,-0.8112000226974487,0.8886,0.298,,,pre_neb,0.5511
mp-35739,ZrUN2,1.437,-0.7903000116348267,0.8204,0.3487,,,pre_neb,0.5509
mp-570276,ZrZn,2.798,-0.7437999844551086,0.6502,0.4757,,,pre_neb,0.5505
mp-866096,HfZnCo2,1.002,-0.8083000183105469,0.8748,0.3048,,,pre_neb,0.5491
mp-570557,NbCo3,1.843,-0.7771000266075134,0.7696,0.383,,,pre_neb,0.5487
mp-1222193,Mg4CuNi,1.342,-0.2036000043153762,0.8322,0.3335,,,pre_neb,0.5472
mp-1080817,NbFeB,0.236,-0.1560000032186508,0.9705,0.2278,,,pre_neb,0.5461
mp-977122,Li5Mg,0.856,-0.1832000017166137,0.893,0.2852,,,pre_neb,0.5457
mp-570677,Ba5Al5Sn,1.499,-0.2083999961614608,0.8126,0.3455,,,pre_neb,0.5457
mp-1471,Zr3Al,2.206,-0.2328999936580658,0.7243,0.4099,,,pre_neb,0.5446
mp-601848,Fe11Co5,5.178,-0.6729000210762024,0.3528,0.6882,,,pre_neb,0.5444
mp-1094310,SrMg2,5.909,-0.3499999940395355,0.2614,0.7548,,,pre_neb,0.5434
mp-2432,CaMg2,4.279,-0.2982999980449676,0.4651,0.6014,,,pre_neb,0.543
mp-862698,Ac2SiAu,4.623,-0.3088999986648559,0.4221,0.6335,,,pre_neb,0.5429
mp-2591,Ti3O,2.069,-0.2267999947071075,0.7414,0.3934,,,pre_neb,0.5425
mp-567744,SrBr2,1.331,-0.1994999945163726,0.8336,0.3234,,,pre_neb,0.5421
mp-1018056,HfNi,2.263,-0.2330999970436096,0.7171,0.4105,,,pre_neb,0.5419
mp-1100190,LiMg,1.944,-0.2215999960899353,0.757,0.3795,,,pre_neb,0.5413
mp-1981,Ba2Sn,1.64,-0.2106000036001205,0.795,0.351,,,pre_neb,0.5413
mp-1207805,VSi3Mo4,2.956,-0.7447999715805054,0.6305,0.4728,,,pre_neb,0.5404
mp-1228719,Al37(Fe6Cu)2,1.506,-0.2041999995708465,0.8118,0.335,,,pre_neb,0.5393
mp-1018098,Ba2BrN,0.5,-0.1622000038623809,0.9375,0.2402,,,pre_neb,0.539
mp-1193390,V4Ni2N,2.391,-0.7649000287055969,0.7011,0.416,,,pre_neb,0.5382
mp-1217775,Ta2Co3Si,0.411,-0.8432999849319458,0.9486,0.2292,,,pre_neb,0.5375
mp-1067475,TiNi,1.65,-0.2081000059843063,0.7938,0.3447,,,pre_neb,0.5372
mp-1086,TaC,5.626,-0.3366999924182892,0.2967,0.7165,,,pre_neb,0.5366
mp-1205548,KSrI3,1.432,-0.1987999975681305,0.821,0.3217,,,pre_neb,0.5357
