material_id,formula,energy_above_hull,n_elements,formula_sta,stability_passed,stability_min_dE_eV,stability_details,best_miller,best_mismatch_pct,best_mismatch_a_pct,best_mismatch_b_pct,best_angle_diff_deg,lattice_details,formula_ads,best_coverage_ML,best_n_Li,best_E_clean_eV,best_E_ads_system_eV,best_E_ads_eV,best_ads_status,best_path,best_barrier_eV,best_neb_status,ranked_mismatch_pct,ranked_E_ads_eV,S_lattice,S_adsorption,ranked_barrier_eV,S_diffusion,score_mode,score,final_rank,final_decision
mp-1215241,ZrVFe,0.017707886666659,3,ZrVFe,True,,稳定: min dE = 0.000 eV/atom,"(0, 0, 1)",0.96,0.96,0.96,57.75,"film(3,3) Li(5,5)",ZrVFe,1.0,11.0,-825.3740234375,-850.0579833984375,-0.5094000101089478,success,,,,0.96,-0.5094000101089478,0.88,0.9989,,,pre_neb,0.9479,43.0,入围：已完成综合评分
mp-1220476,NbAl2Ni9,0.0,3,NbAl2Ni9,True,,稳定: min dE = 0.000 eV/atom,"(0, 0, 1)",0.463,0.463,0.463,28.62,"film(5,5) Li(6,6)",NbAl2Ni9,1.0,6.0,-284.552001953125,-297.5809936523437,-0.4368999898433685,success,,,,0.463,-0.4368999898433685,0.9421,0.9514,,,pre_neb,0.9475,44.0,入围：已完成综合评分
mp-850305,SrCaI4,0.090724860833336,3,SrCaI4,True,,稳定: min dE = -0.003 eV/atom,"(0, 0, 1)",0.049,0.049,0.049,28.62,"film(3,3) Li(8,8)",SrCaI4,0.25,6.0,-321.1400146484375,-334.0320129394531,-0.4138999879360199,success,,,,0.049,-0.4138999879360199,0.9939,0.9115,,,pre_neb,0.9468,45.0,入围：已完成综合评分
mp-2772,ZrAl2,0.0,2,ZrAl2,True,,稳定: min dE = 0.000 eV/atom,"(0, 0, 1)",0.971,0.971,0.971,58.62,"film(4,4) Li(7,7)",ZrAl2,1.0,12.0,-544.8939819335938,-571.8699951171875,-0.5134000182151794,success,,,,0.971,-0.5134000182151794,0.8786,0.9978,,,pre_neb,0.9467,46.0,入围：已完成综合评分
mp-1183216,AlCu3,0.0025298275,2,AlCu3,True,,稳定: min dE = -0.033 eV/atom,"(1, 1, 0)",0.895,0.895,0.001,28.62,"film(5,2) Li(7,3)",AlCu3,1.0,9.0,-518.656982421875,-539.0269775390625,-0.5286999940872192,success,,,,0.895,-0.5286999940872192,0.8881,0.9898,,,pre_neb,0.9462,47.0,入围：已完成综合评分
mp-1039570,CaMg2,0.063282755,2,CaMg2,True,,稳定: min dE = -0.000 eV/atom,"(1, 0, 0)",0.761,0.761,0.717,28.62,"film(6,2) Li(7,5)",CaMg2,0.25,3.0,-115.0009994506836,-121.57599639892578,-0.4569999873638153,success,,,,0.761,-0.4569999873638153,0.9049,0.9772,,,pre_neb,0.9462,48.0,入围：已完成综合评分
mp-861983,Ti2MnFe,0.0,3,Ti2MnFe,True,,稳定: min dE = -0.000 eV/atom,"(1, 0, 0)",0.073,0.073,0.073,28.62,"film(5,5) Li(7,7)",Ti2MnFe,1.0,6.0,-400.302001953125,-413.1950073242188,-0.4140999913215637,success,,,,0.073,-0.4140999913215637,0.9909,0.9119,,,pre_neb,0.9457,49.0,入围：已完成综合评分
mp-21573,Ni21(SnB3)2,0.0,3,Ni21(SnB3)2,True,,稳定: min dE = -0.049 eV/atom,"(1, 1, 1)",0.576,0.576,0.576,58.62,"film(2,2) Li(5,5)",Ni21(SnB3)2,1.0,19.0,-1385.5849609375,-1429.1519775390625,-0.5583000183105469,success,,,,0.576,-0.5583000183105469,0.928,0.9584,,,pre_neb,0.9454,50.0,入围：已完成综合评分
mp-1228032,AlSiMo6,0.0,3,AlSiMo6,True,,稳定: min dE = -0.000 eV/atom,"(1, 1, 1)",0.956,0.956,0.049,16.38,"film(3,3) Li(5,7)",AlSiMo6,1.0,12.0,-1163.2540283203125,-1189.79296875,-0.4769000113010406,success,,,,0.956,-0.4769000113010406,0.8805,0.9934,,,pre_neb,0.945,51.0,入围：已完成综合评分
mp-1211382,KSr2Cl5,0.0,3,KSr2Cl5,True,,稳定: min dE = -0.000 eV/atom,"(0, 0, 1)",0.851,0.747,0.851,28.62,"film(1,3) Li(3,8)",KSr2Cl5,0.25,8.0,-548.135986328125,-566.3090209960938,-0.536899983882904,success,,,,0.851,-0.536899983882904,0.8936,0.9831,,,pre_neb,0.9448,52.0,入围：已完成综合评分
