material_id,formula,coverage_ML,n_Li,E_clean_eV,E_ads_system_eV,E_ads_eV,status
mp-22901,KI,0.25,2,-91.59100341796876,-96.03099822998048,-0.4855000078678131,success
mp-22901,KI,1.0,9,-91.59100341796876,-106.13999938964844,0.1181999966502189,success
mp-22903,RbI,0.25,2,-65.82499694824219,-70.91899871826172,-0.8126000165939331,success
mp-22903,RbI,1.0,9,-65.82499694824219,-59.69400024414063,2.415899991989136,success
mp-22904,CaCl2,0.25,5,-437.2359924316406,-451.552001953125,-1.128600001335144,success
mp-22904,CaCl2,1.0,20,-437.2359924316406,-454.4679870605469,0.8730999827384949,success
mp-22905,LiCl,0.25,3,-484.8240051269531,-501.3269958496094,-3.766299962997437,success
mp-22905,LiCl,1.0,13,-484.8240051269531,-511.10101318359375,-0.2865999937057495,success
mp-22906,CsBr,0.25,2,-104.36000061035156,-109.23400115966795,-0.7027000188827515,success
mp-22906,CsBr,1.0,9,-104.36000061035156,-103.9739990234375,1.777400016784668,success
mp-22916,NaBr,0.25,1,-73.54900360107422,-76.87999725341797,-1.5961999893188477,success
mp-22916,NaBr,1.0,6,-73.54900360107422,-73.63899993896484,1.719599962234497,success
mp-22936,Ca2NCl,0.25,1,-322.906005859375,-327.0260009765625,-2.385900020599365,success
mp-22936,Ca2NCl,1.0,5,-322.906005859375,-341.7489929199219,-2.033900022506714,success
mp-2295,CaNi2,0.25,2,-323.29901123046875,-328.8309936523437,-1.031599998474121,success
mp-2295,CaNi2,1.0,9,-323.29901123046875,-347.3699951171875,-0.9398999810218812,success
mp-22951,BaIF,0.25,2,-218.33200073242188,-232.5970001220703,-5.397900104522705,success
mp-22951,BaIF,1.0,11,-218.33200073242188,-252.238998413086,-1.3478000164031982,success
mp-22957,SrClF,0.25,3,-503.08599853515625,-516.5120239257812,-2.740600109100342,success
mp-22957,SrClF,1.0,14,-503.08599853515625,-511.8009948730469,1.1122000217437744,success
mp-23009,Ca2BrN,0.25,1,-320.3869934082031,-323.02099609375,-0.8999999761581421,success
mp-23009,Ca2BrN,1.0,5,-320.3869934082031,-328.45098876953125,0.1218999996781349,success
