material_id,formula,passed,min_dE_eV,details
mp-765972,V(PO3)4,False,,材料本身不稳定（不在凸包上）
mp-26152,V(PO3)5,False,,材料本身不稳定（不在凸包上）
mp-883522,V(PO3)5,False,,材料本身不稳定（不在凸包上）
mp-771320,V(SO4)2,False,,与 Li 反应: min dE = -1.256 eV/atom
mp-772988,V(SO4)2,False,,与 Li 反应: min dE = -1.256 eV/atom
mp-849323,V(SO4)2,False,,与 Li 反应: min dE = -1.256 eV/atom
mp-557295,V(SeO3)2,False,,与 Li 反应: min dE = -1.317 eV/atom
mp-1265975,V(SiO3)2,False,,材料本身不稳定（不在凸包上）
mp-25239,V(SiO3)2,False,,材料本身不稳定（不在凸包上）
mp-766689,V(SiO3)2,False,,材料本身不稳定（不在凸包上）
mp-762679,V(TeO3)4,False,,材料本身不稳定（不在凸包上）
mp-1216643,V10Si6B,True,,稳定: min dE = -0.012 eV/atom
mp-1216907,V11FeB8,False,,材料本身不稳定（不在凸包上）
mp-766394,V11NiO18,False,,材料本身不稳定（不在凸包上）
mp-1216989,V12Ag5O32,False,,材料本身不稳定（不在凸包上）
mp-772965,V12Cu2O29,False,,材料本身不稳定（不在凸包上）
mp-757552,V12Fe6O35,False,,材料本身不稳定（不在凸包上）
mp-773019,V12O29,False,,材料本身不稳定（不在凸包上）
mp-684675,V12P7,False,,与 Li 反应: min dE = -0.111 eV/atom
mp-1101241,V14Fe5O32,False,,材料本身不稳定（不在凸包上）
mp-1100952,V16Ag7O40,False,,材料本身不稳定（不在凸包上）
mp-849774,V16CrO41,False,,材料本身不稳定（不在凸包上）
mp-867706,V16FeO41,False,,材料本身不稳定（不在凸包上）
mp-863411,V18Ag7O48,False,,与 Li 反应: min dE = -0.905 eV/atom
mp-863399,V18Cu20O57,False,,材料本身不稳定（不在凸包上）
mp-1195743,V18P9C2,False,,与 Li 反应: min dE = -0.095 eV/atom
mp-1217011,V2(B24C)3,False,,材料本身不稳定（不在凸包上）
mp-1193908,V2(Co7B2)3,True,,稳定: min dE = -0.000 eV/atom
mp-1216681,V2(CrSi)3,False,,材料本身不稳定（不在凸包上）
mp-27550,V2(CuO2)5,False,,材料本身不稳定（不在凸包上）
mp-1194512,V2(CuO3)3,False,,材料本身不稳定（不在凸包上）
mp-1207902,V2(Ni7B2)3,False,,材料本身不稳定（不在凸包上）
mp-1101234,V2(OF)3,False,,材料本身不稳定（不在凸包上）
mp-2214695,V2(OF)3,False,,材料本身不稳定（不在凸包上）
mp-2215029,V2(OF)3,False,,材料本身不稳定（不在凸包上）
mp-752980,V2(OF)3,False,,材料本身不稳定（不在凸包上）
mp-754244,V2(OF)3,False,,材料本身不稳定（不在凸包上）
mp-754270,V2(OF)3,False,,材料本身不稳定（不在凸包上）
mp-756882,V2(OF)3,False,,材料本身不稳定（不在凸包上）
mp-758518,V2(OF)3,False,,材料本身不稳定（不在凸包上）
mp-763169,V2(OF)3,False,,材料本身不稳定（不在凸包上）
mp-763965,V2(OF)3,False,,材料本身不稳定（不在凸包上）
mp-764087,V2(OF)3,False,,材料本身不稳定（不在凸包上）
mp-776574,V2(OF)3,False,,材料本身不稳定（不在凸包上）
mp-850989,V2(OF)3,False,,材料本身不稳定（不在凸包上）
mp-26104,V2(PO4)3,False,,材料本身不稳定（不在凸包上）
mp-26124,V2(PO4)3,False,,材料本身不稳定（不在凸包上）
mp-26962,V2(PO4)3,False,,材料本身不稳定（不在凸包上）
mp-25278,V2(SO4)3,False,,与 Li 反应: min dE = -1.158 eV/atom
mp-770389,V2(SO4)3,False,,与 Li 反应: min dE = -1.158 eV/atom
mp-685047,V23Se40,False,,材料本身不稳定（不在凸包上）
mp-685164,V25O32,False,,材料本身不稳定（不在凸包上）
mp-1197838,V2Ag4O7,False,,材料本身不稳定（不在凸包上）
mp-9208,V2B3,True,,稳定: min dE = -0.000 eV/atom
mp-1008632,V2C,True,,稳定: min dE = -0.000 eV/atom
mp-20648,V2C,True,,稳定: min dE = -0.000 eV/atom
mp-27156,V2Co2O7,False,,与 Li 反应: min dE = -0.885 eV/atom
mp-540833,V2Co3O8,False,,材料本身不稳定（不在凸包上）
mp-1216772,V2Co9Mo,False,,材料本身不稳定（不在凸包上）
mp-1216765,V2Co9W,False,,材料本身不稳定（不在凸包上）
mp-2740702,V2CoO4,False,,与 Li 反应: min dE = -0.647 eV/atom
mp-2758056,V2CoO4,False,,与 Li 反应: min dE = -0.647 eV/atom
mp-758452,V2CoO4,False,,与 Li 反应: min dE = -0.647 eV/atom
mp-1178823,V2CoO6,False,,与 Li 反应: min dE = -0.889 eV/atom
mp-19311,V2CoO6,False,,与 Li 反应: min dE = -0.889 eV/atom
mp-2214900,V2CoO6,False,,与 Li 反应: min dE = -0.889 eV/atom
mp-572871,V2CoO6,False,,与 Li 反应: min dE = -0.889 eV/atom
mp-755622,V2CoO6,False,,与 Li 反应: min dE = -0.889 eV/atom
mp-1077935,V2CoS4,False,,材料本身不稳定（不在凸包上）
mp-1078200,V2CoSe4,False,,材料本身不稳定（不在凸包上）
mp-865490,V2CrFe,True,,稳定: min dE = -0.000 eV/atom
mp-1306095,V2CrO6,False,,材料本身不稳定（不在凸包上）
mp-1312918,V2CrO6,False,,材料本身不稳定（不在凸包上）
mp-773503,V2CrO7,False,,材料本身不稳定（不在凸包上）
