material_id,formula,energy_above_hull,n_elements
mp-772624,Al2CO,0.07650396250000001,3
mp-540759,Al2CoCl8,0.067675296363635,3
mp-756318,Al2CoCl8,0.069620883181817,3
mp-1228913,Al2CoNi,0.0,3
mp-36447,Al2CoO4,0.021735825714269002,3
mp-37621,Al2CoO4,0.037999179285700006,3
mp-530284,Al2CoO4,0.07791267839284101,3
mp-530381,Al2CoO4,0.05140115821427001,3
mp-532094,Al2CoO4,0.0,3
mp-532212,Al2CoO4,0.0867337002857,3
mp-674336,Al2CoO4,0.036673144761889,3
mp-607399,Al2CrCl8,0.005058484545452001,3
mp-754713,Al2CrO5,0.038044880312497004,3
mp-773505,Al2CrO5,0.033254703749998005,3
mp-36310,Al2CrS4,0.053348891904764,3
mp-985806,Al2Cu,0.0,2
mp-998,Al2Cu,0.047588876666665,2
mp-23434,Al2CuCl8,0.009915154090906,3
mp-27719,Al2CuO4,0.062960076428572,3
mp-34728,Al2CuO4,0.059305181190476,3
mp-530977,Al2CuO4,0.057460756607143004,3
mp-531283,Al2CuO4,0.062324434821429006,3
mp-532426,Al2CuO4,0.072877099571428,3
mp-752645,Al2CuO4,0.095778238571429,3
mp-29111,Al2Fe3Si4,0.010081376144926001,3
mp-1228905,Al2FeCo,0.00044176249999900005,3
mp-862691,Al2FeCo,0.0,3
mp-1228910,Al2FeNi,0.0,3
mp-867330,Al2FeNi,0.024408005000000003,3
mp-30084,Al2FeO4,0.0,3
mp-34782,Al2FeO4,0.014606905476188,3
mp-34978,Al2FeO4,0.066446484999999,3
mp-36465,Al2FeO4,0.064170799999998,3
mp-530567,Al2FeO4,0.033443453333331,3
mp-531674,Al2FeO4,0.022356451734692,3
mp-18093,Al2Mo3C,0.058640356408730006,3
mp-1229048,Al2Ni3,0.059224135000000004,2
mp-605912,Al2NiCl8,0.014181930454544,3
mp-1048803,Al2NiO4,0.022199475714286,3
mp-1280463,Al2NiO4,0.023864970714286,3
mp-1285355,Al2NiO4,0.023063679285715,3
mp-1295388,Al2NiO4,0.049793235714286004,3
mp-34234,Al2NiO4,0.005724290000000001,3
mp-37614,Al2NiO4,0.0,3
mp-530137,Al2NiO4,0.008883946428573,3
mp-530184,Al2NiO4,0.012476465714286001,3
mp-530459,Al2NiO4,0.010266698857143,3
mp-531917,Al2NiO4,0.004593891964287,3
mp-532317,Al2NiO4,0.0038514468571430004,3
mp-688785,Al2NiO4,0.023635768571429003,3
mp-1143,Al2O3,0.0,2
mp-1182923,Al2O3,0.09592067700000001,2
